"OTU","AUC","abs_AUC","WaldStatistic","DF","p_value","adj_p_value"
"G000830275",-1e-04,1e-04,30.9595,6,2.58e-05,4.63325785244704e-05
"G000402355",7e-04,7e-04,56.8833,6,1.929e-10,5.85848857319333e-10
"G000830295",2e-04,2e-04,3.4516,6,0.7504,0.772311208791209
"G001871415",-0.0012,0.0012,18.2362,6,0.005668,0.00763026858316222
"G001940645",-4e-04,4e-04,32.0858,6,1.571e-05,2.96928964059197e-05
"G001940755",-1e-04,1e-04,32.0344,6,1.607e-05,3.0239644087256e-05
"G001940725",-2e-04,2e-04,11.5367,6,0.07314,0.0863248631781085
"G001940655",-2e-04,2e-04,32.2177,6,1.482e-05,2.8381670886076e-05
"G001563325",0,0,28.777,6,6.704e-05,0.000112811663244353
"G001563335",-3e-04,3e-04,30.9958,6,2.54e-05,4.57311607469791e-05
"G001515205",-1e-04,1e-04,0.4715,6,0.9982,1
"G001587675",-9e-04,9e-04,45.0038,6,4.672e-08,1.15933504920515e-07
"G001587605",3e-04,3e-04,19.7066,6,0.003123,0.00433534472049689
"G001587595",-0.0021,0.0021,48.108,6,1.124e-08,2.95783141557399e-08
"G001587635",-0.0023,0.0023,51.2218,6,2.673e-09,7.40250126724866e-09
"G001587715",0.0019,0.0019,27.0396,6,0.0001424,0.000229341893219784
"G001587575",-2e-04,2e-04,42.9338,6,1.202e-07,2.88233796634967e-07
"G002009975",-2e-04,2e-04,21.209,6,0.001683,0.00240247089563072
"G000725425",0,0,29.112,6,5.794e-05,9.84929922212619e-05
"G000517445",0,0,35.0377,6,4.238e-06,8.76661590239798e-06
"G000151105",0,0,26.0838,6,0.0002148,0.000337758746402303
"G001433455",0,0,29.5067,6,4.877e-05,8.38615457247771e-05
"G001317345",-7e-04,7e-04,60.1004,6,4.295e-11,1.38255417348609e-10
"G000022545",-1e-04,1e-04,31.3249,6,2.197e-05,4.00543159065629e-05
"G001508175",-1e-04,1e-04,29.9723,6,3.979e-05,6.9108947368421e-05
"G000246985",2e-04,2e-04,31.7017,6,1.861e-05,3.42780932758944e-05
"G000215995",-2e-04,2e-04,12.434,6,0.05296,0.0635752734375
"G000275605",-3e-04,3e-04,58.8153,6,7.831e-11,2.46668975016015e-10
"G000011105",4e-04,4e-04,52.8518,6,1.257e-09,3.58195827296436e-09
"G000263735",0,0,28.7481,6,6.789e-05,0.000114163861149111
"G001577775",-1e-04,1e-04,31.5392,6,1.999e-05,3.66346738725307e-05
"G900012635",-2e-04,2e-04,32.2749,6,1.445e-05,2.78684644047853e-05
"G000966265",-2e-04,2e-04,53.6454,6,8.697e-10,2.51844222614841e-09
"G000018365",-8e-04,8e-04,75.0003,6,3.841e-14,1.48651688311688e-13
"G001647085",-4e-04,4e-04,59.35,6,6.1e-11,1.93820355411955e-10
"G900109425",-2e-04,2e-04,37.2672,6,1.562e-06,3.37375532615858e-06
"G001418715",0,0,25.6906,6,0.0002542,0.000396479429024584
"G000265525",-6e-04,6e-04,9.5572,6,0.1446,0.164145954057486
"G000221185",-2e-04,2e-04,32.3764,6,1.382e-05,2.68588695652174e-05
